URL TO JPG,Work Record ID,Licence#1,ID Number#1,Cataloguer#1,Shelfmark#1,Old ID#1,CMS ID#2,Title#1,Alternate Title#1,Translated Title#1,Creator#1,Creator Name#1,Creator Dates#1,Creator Nationality#1,Creator Role#1,Creator Active Dates#1,Summary Creator#1,Creator#2,Creator Name#2,Creator Role#2,Summary Creator#2,Associate Creator#1,Associate Creator Name#1,Associate Creator Dates#1,Associate Creator Role#1,Associate Creator#2,Associate Creator Name#2,Associate Creator Dates#2,Associate Creator Role#2,Associate Creator#4,Associate Creator Name#4,Associate Creator Dates#4,Associate Creator Role#4,Associate Creator#3,Associate Creator Name#3,Associate Creator Role#3,Date#1,Early Date#1,Late Date#1,Description#1,Classification#1,Work Type#1,Measurement#1,Material#1$1,Material#1$2,Material#1$3,Material#1$4,Material#1$5,Material#1,Technique#1,Location#1,Repository#1,Source#1,Subject#1,Subject Person#1$1,Subject Person#1$2,Subject Person#1,Subject Place#1$1,Subject Place#1$2,Subject Place#1,Subject Event#1,Subject Event#1$2,Subject Event#1$1,Subject Object#1,Subject Category#1$1,Subject Category#1$2,Subject Category#1$3,Subject Category#1,Subject Category#1$4,Subject Period#1,Related Work Title#1,Related Work Creator#1,Related Work Title#2,Related Work Creator#2,Related Work Title#4,Related Work Creator#4,Related Work Title#3,Related Work Creator#3,Repro Record ID#1,Repro Link ID#1,Repro File Type#1,Repro File Size (bytes)#1,Repro Title#1,Repro Creator Name#1,Repro Creator Role Description#1,Repro Creator Name#2,Repro Creator Role Description#2,Repro Repository#1,Repro ID Number#1,Repro Old ID Number#1,Repro Capture Date#1,Repro Rights Statement#1
http://images.is.ed.ac.uk/MediaManager/srvr?mediafile=/Size4/UoEwal-1-NA/1001/0007307d.jpg,7307,"<a href = ""https://creativecommons.org/licenses/by/3.0/"" target=""_blank""><img src = ""http://lac-luna-live4.is.ed.ac.uk:8181/graphics/by.jpg""/></a>",7307,Paul Barnaby,Corson P.3017,cc0108,2608,St Mary's,Steel engraving by E.F. Finden after a painting by S. Prout relating to Scott's novel The Abbot,,"Prout, Samuel","Prout, Samuel",,,Artist,,Samuel Prout,,,,,"Finden, Edward Francis","Finden, Edward Francis",,Engraver,,,,,,,,,,,,1830,01 Jan 1830,31 Dec 1830,"Depicts the ruins of Melrose Abbey, Scottish Borders, portrayed as the Monastery of Kennaquhair in the Abbot. Melrose Abbey also appears in The Lay of the Last Minstrel (1805), The Monastery (1820), and is described in Scott's 'Essay on Border Antiquities (1814).",Engraving,Engraving,"23.5 x 17.1cm (9 1/4 x 6 3/4"")",Ink,Paper,,,,,Steel Engraving,TBC/Main Library/Special Collections,Corson Collection,"Landscape Illustrations of the Waverley Novels: With Descriptions of the Views, vol. II. London: Charles Tilt, 1832, no. 46","Scott, Walter, Sir, 1771-1832 - Settings Melrose Abbey","Mary, Queen of Scots","Scott, Walter, Sir",,,,Melrose Abbey,,,,,Fiction,Settings,,,,,"Abbot, The","Scott, Walter, Sir",,,,,,,0007000-0007999\0007307d.jpg,0007307d,Derivative TIFF,25746972,N/A,Susan Pettigrew,Operator,Digital Imaging Unit,Creator,Corson Collection,0007307d.tif,,11/04/12 15:53,Â© The University of Edinburgh
http://images.is.ed.ac.uk/MediaManager/srvr?mediafile=/Size4/UoEwal-1-NA/1001/0007308d.jpg,7308,"<a href = ""https://creativecommons.org/licenses/by/3.0/"" target=""_blank""><img src = ""http://lac-luna-live4.is.ed.ac.uk:8181/graphics/by.jpg""/></a>",7308,Paul Barnaby,Corson P.3027,cc0109,2609,The Abbot: Roland Graeme Rescuing Henry Seyton,"Steel engraving by J. Romney after a painting by A. Cooper, depicting a scene from The Abbot",,"Cooper, Abraham","Cooper, Abraham",,,Painter,,Abraham Cooper,,,,,"Romney, John","Romney, John",,Engraver,,,,,,,,,,,,1824,01 Jan 1824,31 Dec 1824,"Depicts Roland Graeme rescuing Henry Seyton at the Battle of Langside (Abbot, ch. 37).",Engraving,Engraving,"12.3 x 20cm (4 13/16 x 7 7/8"")",Ink,Paper,,,,,Steel Engraving,TBC/Main Library/Special Collections,Corson Collection,"A New Series of Illustrations of the Historical Romances. London: Hurst, Robinson & Co., 1824, plate 5","Scotland - History - Mary Stuart, 1542-1567 - Fiction Scott, Walter, Sir, 1771-1832 - Characters - Heroes","Mary, Queen of Scots","Scott, Walter, Sir",,,,Langside,"Langside, Battle of, 1568",,,,Characters,Fiction,Settings,,,,"Abbot, The","Scott, Walter, Sir",,,,,,,0007000-0007999\0007308d.jpg,0007308d,Derivative TIFF,17861340,N/A,Susan Pettigrew,Operator,Digital Imaging Unit,Creator,Corson Collection,0007308d.tif,,11/04/12 15:54,Â© The University of Edinburgh
http://images.is.ed.ac.uk/MediaManager/srvr?mediafile=/Size4/UoEwal-1-NA/1001/0007309d.jpg,7309,"<a href = ""https://creativecommons.org/licenses/by/3.0/"" target=""_blank""><img src = ""http://lac-luna-live4.is.ed.ac.uk:8181/graphics/by.jpg""/></a>",7309,Paul Barnaby,Corson P.3498,cc0110,2610,The Abbot: Lochleven Castle,Steel engraving by E.F. Finden of a scene relating to Scott's novel The Abbot,,"Finden, Edward Francis","Finden, Edward Francis",,,Artist,,Edward Francis Finden,,,,,,,,,,,,,,,,,,,,1832,01 Jan 1832,31 Dec 1832,"Depicts Loch Leven Castle, Fife, scene of Mary Stuart's imprisonment. The plot of Sir Walter Scott's The Abbot (1820) revolves around Mary's escape from the castle. The image was presumably engraved by Finden after his own design.",Engraving,Engraving,"11.5 x 17.8cm (4 1/2 x 7"")",Ink,Paper,,,,,Steel Engraving,TBC/Main Library/Special Collections,Corson Collection,"The Waverley Album. London: Charles Heath, 1832 (facing p. 32)","Scott, Walter, Sir, 1771-1832 - Settings Loch Leven Castle (Scotland)","Mary, Queen of Scots","Scott, Walter, Sir",,,,Loch Leven Castle,,,,,Fiction,Settings,,,,,"Abbot, The","Scott, Walter, Sir",,,,,,,0007000-0007999\0007309d.jpg,0007309d,Derivative TIFF,13245964,N/A,Susan Pettigrew,Operator,Digital Imaging Unit,Creator,Corson Collection,0007309d.tif,,11/04/12 15:55,Â© The University of Edinburgh
http://images.is.ed.ac.uk/MediaManager/srvr?mediafile=/Size4/UoEwal-1-NA/1001/0007310d.jpg,7310,"<a href = ""https://creativecommons.org/licenses/by/3.0/"" target=""_blank""><img src = ""http://lac-luna-live4.is.ed.ac.uk:8181/graphics/by.jpg""/></a>",7310,Paul Barnaby,Corson P.3497,cc0111,2611,Abbot: Roland Graeme Rescued from the Water,Steel engraving by C. Rolls after H. Howard of a scene from Scott's novel The Abbot,,"Howard, Henry","Howard, Henry",,,Artist,,Henry Howard,,,,,"Rolls, Charles","Rolls, Charles",,Engraver,,,,,,,,,,,,1832,01 Jan 1832,31 Dec 1832,"Depicts Roland Graeme being rescued from drowning by the greyhound Wolf (Abbot, ch. 1).",Engraving,Engraving,"11.5 x 17.8cm (4 1/2 x 7"")",Ink,Paper,,,,,Steel Engraving,TBC/Main Library/Special Collections,Corson Collection,"The Waverley Album. London: Charles Heath, 1832 (facing p. 31)","Scotland - History - Mary Stuart, 1542-1567 - Fiction Scott, Walter, Sir, 1771-1832 - Characters - Heroes","Mary, Queen of Scots","Scott, Walter, Sir",,,,,,,,,Characters,Fiction,,,,,"Abbot, The","Scott, Walter, Sir",,,,,,,0007000-0007999\0007310d.jpg,0007310d,Derivative TIFF,18883508,N/A,Susan Pettigrew,Operator,Digital Imaging Unit,Creator,Corson Collection,0007310d.tif,,11/04/12 15:56,Â© The University of Edinburgh
http://images.is.ed.ac.uk/MediaManager/srvr?mediafile=/Size4/UoEwal-1-NA/1001/0007311d.jpg,7311,"<a href = ""https://creativecommons.org/licenses/by/3.0/"" target=""_blank""><img src = ""http://lac-luna-live4.is.ed.ac.uk:8181/graphics/by.jpg""/></a>",7311,Paul Barnaby,Corson P.3071,cc0112,2612,Loch Leven and Castle,Steel engraving by W. Miller after C. Stanfield of a scene relating to Scott's novel The Abbot,,"Stanfield, Clarkson","Stanfield, Clarkson",,,Artist,,Clarkson Stanfield,,,,,"Miller, William","Miller, William",,Engraver,,,,,,,,,,,,1877,01 Jan 1877,31 Dec 1877,"Depicts fishermen on Loch Leven, Fife, with the Castle, scene of Mary Stuart's imprisonment, in the background. The plot of Sir Walter Scott's The Abbot (1820) revolves around Mary's escape from the castle.",Engraving,Engraving,"22.9 x 14.7cm (9 x 5 13/16"")",Ink,Paper,,,,,Steel Engraving,TBC/Main Library/Special Collections,Corson Collection,"Scott, W. Waverley Novels, Library Edition, vol. II, The Abbot. Edinburgh: 1877 (facing p. 298)","Scott, Walter, Sir, 1771-1832 - Settings Loch Leven Castle (Scotland)","Mary, Queen of Scots","Scott, Walter, Sir",,,,Loch Leven Castle,,,,,Fiction,Settings,,,,,"Abbot, The","Scott, Walter, Sir",,,,,,,0007000-0007999\0007311d.jpg,0007311d,Derivative TIFF,31307552,N/A,Susan Pettigrew,Operator,Digital Imaging Unit,Creator,Corson Collection,0007311d.tif,,11/04/12 15:58,Â© The University of Edinburgh
http://images.is.ed.ac.uk/MediaManager/srvr?mediafile=/Size4/UoEwal-1-NA/1001/0007312d.jpg,7312,"<a href = ""https://creativecommons.org/licenses/by/3.0/"" target=""_blank""><img src = ""http://lac-luna-live4.is.ed.ac.uk:8181/graphics/by.jpg""/></a>",7312,Paul Barnaby,Corson P.3032,cc0113,2613,Frith of Cumberland and Galloway,Steel engraving by E.F. Finden after C. Fielding of a scene relating to Scott's novel The Abbot,,"Fielding, Copley","Fielding, Copley",,,Artist,,Copley Fielding,,,,,"Finden, Edward Francis","Finden, Edward Francis",,Engraver,,,,,,,,,,,,1831,01 Jan 1831,31 Dec 1831,"Depicts the boat carrying Queen Mary to England after the Battle of Langside (Abbot, ch. 38), with figures waving on the shore.",Engraving,Engraving,"22.7 x 17cm (8 15/16 x 6 11/16"")",Ink,Paper,,,,,Steel Engraving,TBC/Main Library/Special Collections,Corson Collection,"Landscape Illustrations of the Waverley Novels: With Descriptions of the Views, vol. II. London: Charles Tilt, 1832 (no. 52)","Scotland - History - Mary Stuart, 1542-1567 - Fiction Solway Firth (England and Scotland)","Mary, Queen of Scots","Scott, Walter, Sir",,,,Solway Firth,,,,,Characters,Fiction,Settings,,,,"Abbot, The","Scott, Walter, Sir",,,,,,,0007000-0007999\0007312d.jpg,0007312d,Derivative TIFF,26974952,N/A,Susan Pettigrew,Operator,Digital Imaging Unit,Creator,Corson Collection,0007312d.tif,,11/04/12 15:59,Â© The University of Edinburgh
http://images.is.ed.ac.uk/MediaManager/srvr?mediafile=/Size4/UoEwal-1-NA/1001/0007313d.jpg,7313,"<a href = ""https://creativecommons.org/licenses/by/3.0/"" target=""_blank""><img src = ""http://lac-luna-live4.is.ed.ac.uk:8181/graphics/by.jpg""/></a>",7313,Paul Barnaby,Corson P.3029,cc0114,2614,Niddrie Castle,Steel engraving by E.F. Finden after D. Roberts of a scene relating to Scott's novel The Abbot,,"Roberts, David","Roberts, David",,,Artist,,David Roberts,,,,,"Finden, Edward Francis","Finden, Edward Francis",,Engraver,,,,,,,,,,,,1831,01 Jan 1831,31 Dec 1831,"Depicts the ruins of Niddry Castle, West Lothian, where Mary Stuart fled following her escape from Loch Leven Castle (Abbot, ch. 35).",Engraving,Engraving,"23.8 x 17.4cm (9 3/8 x 6 7/8"")",Ink,Paper,,,,,Steel Engraving,TBC/Main Library/Special Collections,Corson Collection,"Landscape Illustrations of the Waverley Novels: With Descriptions of the Views, vol. II. London: Charles Tilt, 1832 (no. 50)","Scott, Walter, Sir, 1771-1832 - Settings Niddry Castle (Scotland)","Mary, Queen of Scots","Scott, Walter, Sir",,,,Niddry Castle,,,,,Fiction,Settings,,,,,"Abbot, The","Scott, Walter, Sir",,,,,,,0007000-0007999\0007313d.jpg,0007313d,Derivative TIFF,23080728,N/A,Susan Pettigrew,Operator,Digital Imaging Unit,Creator,Corson Collection,0007313d.tif,,11/04/12 16:00,Â© The University of Edinburgh
http://images.is.ed.ac.uk/MediaManager/srvr?mediafile=/Size4/UoEwal-1-NA/1001/0007314d.jpg,7314,"<a href = ""https://creativecommons.org/licenses/by/3.0/"" target=""_blank""><img src = ""http://lac-luna-live4.is.ed.ac.uk:8181/graphics/by.jpg""/></a>",7314,Paul Barnaby,Corson P.3038,cc0115,2615,"'Stand not to look on a dying man, but haste to save the Queen.'",Title page with steel engraving by C. Heath after H. Corbould for Scott's novel The Abbot,,"Corbould, Henry","Corbould, Henry",,,Artist,,Henry Corbould,,,,,"Heath, Charles","Heath, Charles",,Engraver,,,,,,,,,,,,1824,01 Jan 1824,31 Dec 1824,"Depicts the death of Henry Seyton at the Battle of Langside and a mounted Roland Graeme going to the aid of Mary Stuart (Abbot, ch. 37).",Engraving,Engraving,"12.6 x 19.6cm (4 15/16 x 7 11/16"")",Ink,Paper,,,,,Steel Engraving,TBC/Main Library/Special Collections,Corson Collection,"Scott, W. The Abbot: A Romance by the Author of Waverley. London: Hurst, Robinson & Co., 1824","Scotland - History - Mary Stuart, 1542-1567 - Fiction Mary, Queen of Scots, 1542-1587 - Fiction","Mary, Queen of Scots","Scott, Walter, Sir",,,,,,,,,Characters,Fiction,,,,,"Abbot, The","Scott, Walter, Sir",,,,,,,0007000-0007999\0007314d.jpg,0007314d,Derivative TIFF,24360572,N/A,Susan Pettigrew,Operator,Digital Imaging Unit,Creator,Corson Collection,0007314d.tif,,21/03/12 15:42,Â© The University of Edinburgh
http://images.is.ed.ac.uk/MediaManager/srvr?mediafile=/Size4/UoEwal-1-NA/1001/0007315d.jpg,7315,"<a href = ""https://creativecommons.org/licenses/by/3.0/"" target=""_blank""><img src = ""http://lac-luna-live4.is.ed.ac.uk:8181/graphics/by.jpg""/></a>",7315,Paul Barnaby,Corson P.3020,cc0116,2616,The Abbot: Roland Introduced to Sir Halbert Glendinning,Steel engraving by C. Heath after H. Corbould of a scene from Scott's novel The Abbot,,"Corbould, Henry","Corbould, Henry",,,Artist,,Henry Corbould,,,,,"Heath, Charles","Heath, Charles",,Engraver,,,,,,,,,,,,1824,01 Jan 1824,31 Dec 1824,"Depicts Roland Graeme as a boy hiding behind the Lady of Avenel as she introduces him to Sir Halbert Glendinning (Abbot, ch. 3).",Engraving,Engraving,"12.8 x 19.5cm (5 1/16 x 7 11/16"")",Ink,Paper,,,,,Steel Engraving,TBC/Main Library/Special Collections,Corson Collection,"Scott, W. The Abbot: A Romance by the Author of Waverley. London: Hurst, Robinson and Co., 1824","Scotland - History - Mary Stuart, 1542-1567 - Fiction Scott, Walter, Sir, 1771-1832 - Characters - Heroes","Mary, Queen of Scots","Scott, Walter, Sir",,,,,,,,,Characters,Fiction,,,,,"Abbot, The","Scott, Walter, Sir",,,,,,,0007000-0007999\0007315d.jpg,0007315d,Derivative TIFF,25951504,N/A,Susan Pettigrew,Operator,Digital Imaging Unit,Creator,Corson Collection,0007315d.tif,,21/03/12 15:43,Â© The University of Edinburgh
http://images.is.ed.ac.uk/MediaManager/srvr?mediafile=/Size4/UoEwal-1-NA/1001/0007316d.jpg,7316,"<a href = ""https://creativecommons.org/licenses/by/3.0/"" target=""_blank""><img src = ""http://lac-luna-live4.is.ed.ac.uk:8181/graphics/by.jpg""/></a>",7316,Paul Barnaby,Corson P.3025,cc0117,2617,Lochleven Castle,Steel engraving by R. Brandard after G. Cattermole of a scene from Scott's novel The Abbot,,"Cattermole, George","Cattermole, George",,,Artist,,George Cattermole,,,,,"Brandard, Robert","Brandard, Robert",,Engraver,,,,,,,,,,,,1835,01 Jan 1835,31 Dec 1835,"Depicts Loch Leven Castle, Fife, scene of Mary Stuart's imprisonment, with a group of soldiers on the shore. The plot of Sir Walter Scott's The Abbot (1820) revolves around Mary's escape from the castle.",Engraving,Engraving,"19.5 x 12.5cm (7 11/16 x 4 15/16"")",Ink,Paper,,,,,Steel Engraving,TBC/Main Library/Special Collections,Corson Collection,"Ritchie, L. Scott and Scotland. London: Longman & Co., 1835 (facing p. 202)","Mary, Queen of Scots, 1542-1587 - Fiction Loch Leven Castle (Scotland)","Mary, Queen of Scots","Scott, Walter, Sir",,,,Loch Leven Castle,,,,,Characters,Fiction,Settings,,,,"Abbot, The","Scott, Walter, Sir",,,,,,,0007000-0007999\0007316d.jpg,0007316d,Derivative TIFF,27798668,N/A,Susan Pettigrew,Operator,Digital Imaging Unit,Creator,Corson Collection,0007316d.tif,,11/04/12 16:01,Â© The University of Edinburgh
